;Method;Time_Window;Driver;Impostors;Method_Parameters;PORC_FAR;Min_Time_Detection(s);Average_Time_Detection(s);Max_Time_Detection(s);Standard_deviation(s);%_FRR;Min_Time_Detection(s);Average_Time_Detection(s);Max_Time_Detection(s);Standard_deviation(s);Number_clusters
0;EE;30;E;['A', 'B', 'C', 'D', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};48.77;30;49.671;798;54.00358277;29.99;30;32.30965909;45;2.696017512;30
0;EE;3;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.96;4;4898.823529;23445;6927.60832;0.09;459;735;1244;441.3309416;1
0;EE;3;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.67;3;612.3014706;5220;988.9398238;0.14;211;551.5;1269;492.5454294;3
0;EE;3;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};98.21;3;259.9968454;7233;776.8610016;0.09;305;735;1441;616.2434584;5
0;EE;3;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};97.56;3;164.492;3743;473.8648518;0.09;392;735;1050;329.8924067;10
0;EE;3;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};88.66;3;54.43963068;1823;188.7703012;0.73;4;130.5294118;269;97.61219035;30
0;EE;5;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.94;6;6933.25;43652;12449.6451;0.09;179;736.3333333;1745;875.1373226;1
0;EE;5;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.77;5;1321.619048;7446;1664.361724;0.14;41;553;1745;799.2746712;3
0;EE;5;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.58;5;840.8686869;5592;1381.039003;0.23;41;369.6666667;744;259.2802859;5
0;EE;5;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};97.02;5;129.5381026;4680;386.4657373;0.18;39;443;985;341.0725729;10
0;EE;5;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};90.49;5;61.69118774;1799;194.1988509;0.77;9;125.2222222;532;134.9063098;30
0;EE;10;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.98;136;20754.5;56337;26336.61652;0.05;371;1106;1841;1039.446968;1
0;EE;10;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.67;10;1847.311111;12911;2848.956171;0.05;371;1106;1841;1039.446968;3
0;EE;10;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.46;10;1124.540541;7228;1593.917653;0.05;809;1106;1403;420.021428;5
0;EE;10;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};98.67;10;544.2352941;4613;894.5025431;0.23;32;374;1403;526.400228;10
0;EE;10;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};92.54;10;142.34375;3310;375.4728264;2.92;10;43.37096774;139;31.50604099;30
0;EE;30;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.95;31;8244.7;55814;18419.59306;0.09;330;754.6666667;1477;628.7736742;1
0;EE;30;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};98.88;30;1279.476923;9421;1813.225321;0.14;232;573;1315;499.2213938;3
0;EE;30;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};98.52;30;830.8217822;7172;1304.154396;0.28;33;339.4285714;728;260.3240654;5
0;EE;30;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};95.7;30;287.7631579;5481;640.0309474;0.32;52;300.5;554;155.5295103;10
0;EE;30;F;['A', 'B', 'C', 'D', 'E', 'G', 'H', 'I', 'J'];{'contamination: 0'};70.71;30;66.0471638;1953;137.0302284;11.98;30;37.33913043;84;9.007407875;30
0;EE;3;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};99.74;3;700.1370968;4424;1000.65491;0.13;149;500.3333333;1106;526.7602238;1
0;EE;3;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};86.74;3;61.42146803;2639;182.5536017;0.07;223;750;1277;745.2905474;3
0;EE;3;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};93.35;3;84.67755102;2814;288.1701952;0.13;223;500.3333333;884;343.0893955;5
0;EE;3;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};90.79;3;75.65140187;2945;259.5078723;0.27;145;300.6;501;164.8553912;10
0;EE;3;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};81;3;29.07239122;2687;89.55087903;0.94;6;100.8666667;203;61.7296718;30
0;EE;5;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};99.41;5;699.2096774;4559;1025.261222;0.2;187;377;523;162.055546;1
0;EE;5;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};99.46;5;667.5;6596;1110.68793;0.2;88;377;778;299.035115;3
0;EE;5;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};96.26;5;186.6586433;5199;569.5067864;0.13;88;501.6666667;942;427.6240561;5
0;EE;5;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};89.39;5;93.20253165;3209;351.0032237;0.27;88;302.2;778;272.0371298;10
0;EE;5;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};84.85;5;70.22682268;1825;184.1649497;0.8;5;118.0769231;508;138.1505589;30
0;EE;10;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};99.89;11;4330.2;25339;6953.970434;0.27;14;306.4;777;307.2056315;1
0;EE;10;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};93.72;10;422.6938776;7518;1070.970831;0.27;54;306.4;777;293.6584751;3
0;EE;10;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};95.75;10;263.9046154;5315;708.7501955;0.2;76;381;777;298.2962733;5
0;EE;10;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};90.92;10;160.2673077;2543;460.5911043;0.54;22;173.7777778;450;156.6698581;10
0;EE;10;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};84.71;10;62.69230769;2515;193.7134542;1.95;12;57.73333333;263;58.90081279;30
0;EE;30;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};99.87;31;8589.9;48564;15117.81081;0.2;145;397;999;403.4881246;1
0;EE;30;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};87.35;30;488.3680982;4226;794.7551603;0.2;56;397;872;381.1194039;3
0;EE;30;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};92.26;30;447.4232804;5170;902.2106365;0.61;53;175.6;363;85.80883145;5
0;EE;30;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};82.7;30;159.3069853;2939;407.1146411;0.61;63;175.6;628;165.1027963;10
0;EE;30;G;['A', 'B', 'C', 'D', 'E', 'F', 'H', 'I', 'J'];{'contamination: 0'};32.93;30;44.70673344;363;28.67097397;39.46;30;31.61111111;43;2.064415575;30
0;EE;3;H;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'I', 'J'];{'contamination: 0'};99.64;3;780.7592593;4594;1063.708834;0.2;188;396.2;853;270.3741852;1
0;EE;3;H;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'I', 'J'];{'contamination: 0'};99.64;3;834.7326733;7168;1318.383623;0.15;132;495;853;294.5674795;3
0;EE;3;H;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'I', 'J'];{'contamination: 0'};99.58;3;720.4188034;7168;1286.490845;0.2;63;396.2;853;317.5432254;5
0;EE;3;H;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'I', 'J'];{'contamination: 0'};99.38;3;462.9285714;5048;855.1347672;0.3;54;283.2857143;759;259.1252685;10
0;EE;3;H;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'I', 'J'];{'contamination: 0'};97.69;3;142.9538462;2546;405.3478418;0.46;18;198.6;411;125.0752662;30
0;EE;5;H;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'I', 'J'];{'contamination: 0'};99.67;5;1338.111111;11434;1988.753185;0.1;34;661;1378;676.5049889;1
0;EE;5;H;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'I', 'J'];{'contamination: 0'};99.53;5;991.4941176;7776;1595.603518;0.2;34;397.8;863;346.7977797;3
0;EE;5;H;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'I', 'J'];{'contamination: 0'};99.28;5;713.5254237;7436;1296.298885;0.3;34;285;709;267.744281;5
0;EE;5;H;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'I', 'J'];{'contamination: 0'};99.12;5;498.6272189;5058;879.8256372;0.1;71;661;1409;682.8499103;10
0;EE;5;H;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'I', 'J'];{'contamination: 0'};98.53;5;209.6806931;2547;479.7472034;0.25;14;332;635;226.3280804;30
0;EE;10;H;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'I', 'J'];{'contamination: 0'};99.43;10;1380.344262;9598;1957.169699;0.1;472;664.6666667;864;196.0850156;1
0;EE;10;H;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'I', 'J'];{'contamination: 0'};99.18;10;979.2209302;9579;1629.766677;0.2;106;402;864;327.3110142;3
0;EE;10;H;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'I', 'J'];{'contamination: 0'};99.01;10;895.1595745;9579;1467.739453;0.3;79;289.4285714;565;196.6730427;5
0;EE;10;H;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'I', 'J'];{'contamination: 0'};98.59;10;464.7197802;5805;929.7879777;0.41;25;226.8888889;485;182.8656915;10
0;EE;10;H;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'I', 'J'];{'contamination: 0'};92.2;10;67.53962264;1913;149.4281425;0.51;18;187.0909091;720;206.1108704;30
0;EE;30;H;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'I', 'J'];{'contamination: 0'};98.95;30;1902.909091;11345;2588.086856;0.2;137;418.8;740;258.5637252;1
0;EE;30;H;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'I', 'J'];{'contamination: 0'};98.22;30;1065.088608;7108;1388.303301;0.15;245;516.5;849;277.9274486;3
0;EE;30;H;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'I', 'J'];{'contamination: 0'};97.47;30;962.5977011;7110;1371.430796;2.51;30;68.66666667;315;52.69839246;5
0;EE;30;H;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'I', 'J'];{'contamination: 0'};93.2;30;206.7139588;4703;507.683928;2.71;30;65.53846154;189;38.29680862;10
0;EE;30;H;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'I', 'J'];{'contamination: 0'};64.88;30;62.41718171;1018;73.90478172;18.38;30;34.29568106;60;4.904652344;30
0;EE;3;I;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'J'];{'contamination: 0'};99.98;4;8648.3;43694;13663.67799;0;1562;1562;1562;;1
0;EE;3;I;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'J'];{'contamination: 0'};99.95;3;2883.366667;14423;4069.918575;0.06;516;781.5;1047;375.4737008;3
0;EE;3;I;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'J'];{'contamination: 0'};97.34;3;190.3243848;6098;700.8547919;0;1562;1562;1562;;5
0;EE;3;I;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'J'];{'contamination: 0'};92.97;3;120.7636632;3330;414.0961716;0.19;93;391.25;523;203.7128289;10
0;EE;3;I;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'J'];{'contamination: 0'};82.14;3;31.20888158;1886;105.031867;1.09;5;87.72222222;475;112.5526311;30
0;EE;5;I;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'J'];{'contamination: 0'};99.99;11;10803.125;49133;16770.5721;0.06;764;783;802;26.87005769;1
0;EE;5;I;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'J'];{'contamination: 0'};99.95;5;3929.454545;15423;4329.190507;0.06;741;783;825;59.39696962;3
0;EE;5;I;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'J'];{'contamination: 0'};97.6;5;296.8194444;7165;889.0146066;0;1563;1563;1563;;5
0;EE;5;I;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'J'];{'contamination: 0'};93.81;5;127.1869301;3463;414.4030568;0.38;12;225.8571429;721;249.3280493;10
0;EE;5;I;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'J'];{'contamination: 0'};85.89;5;52.31445313;2143;165.3943292;1.8;6;58.67857143;182;59.26091309;30
0;EE;10;I;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'J'];{'contamination: 0'};99.93;11;10776.625;49021;16732.70611;0.19;11;397;777;421.4443419;1
0;EE;10;I;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'J'];{'contamination: 0'};99.91;10;4315.3;15523;5084.669705;0.13;11;526.6666667;823;448.2369165;3
0;EE;10;I;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'J'];{'contamination: 0'};99.09;10;641.7259259;15109;1839.98695;0.26;11;319.2;746;286.8130053;5
0;EE;10;I;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'J'];{'contamination: 0'};94.21;10;166.6912621;3969;552.6342855;0.51;11;180.8888889;615;215.2460478;10
0;EE;10;I;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'J'];{'contamination: 0'};80.75;10;51.67811159;2013;144.2820687;4.12;10;32.66666667;106;21.13627061;30
0;EE;30;I;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'J'];{'contamination: 0'};99.82;33;12207.71429;48572;17289.50955;0.13;450;541.3333333;723;157.3287429;1
0;EE;30;I;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'J'];{'contamination: 0'};98.82;30;1435.516667;13603;2846.365518;0.19;119;413;962;380.6266762;3
0;EE;30;I;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'J'];{'contamination: 0'};94.35;30;826.7920792;7666;1635.325009;0.39;37;248;565;214.4877619;5
0;EE;30;I;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'J'];{'contamination: 0'};93.76;30;380.2149123;4936;832.5152443;0.39;150;248;368;73.37574531;10
0;EE;30;I;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'J'];{'contamination: 0'};43.98;30;43.82083662;504;28.62210501;41.33;30;31.39522546;43;1.716713372;30
0;EE;3;J;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I'];{'contamination: 0'};99.69;3;1040.121951;14949;2139.837852;0.17;164;446;703;222.523407;1
0;EE;3;J;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I'];{'contamination: 0'};99.34;3;538.8607595;5719;1064.682917;0.17;164;446;703;222.523407;3
0;EE;3;J;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I'];{'contamination: 0'};91.18;3;182.638051;2689;519.9478094;0.34;14;255.2857143;504;204.0324437;5
0;EE;3;J;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I'];{'contamination: 0'};90.2;3;131.2248322;2652;415.8237868;0.34;62;255.2857143;748;264.949501;10
0;EE;3;J;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I'];{'contamination: 0'};87.56;3;67.81161972;2177;219.6637713;0.9;14;105.7058824;260;85.41938064;30
0;EE;5;J;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I'];{'contamination: 0'};99.77;5;1814.851064;15178;3226.733757;0;1782;1782;1782;;1
0;EE;5;J;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I'];{'contamination: 0'};96.04;5;319.1;14936;1201.56622;0.11;20;596;1412;726.3718056;3
0;EE;5;J;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I'];{'contamination: 0'};95.79;5;139.5190713;7775;657.6651019;0.17;298;447.75;579;134.0829967;5
0;EE;5;J;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I'];{'contamination: 0'};90.19;5;153.1007752;2507;431.4792816;0.28;38;299.5;1182;437.805322;10
0;EE;5;J;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I'];{'contamination: 0'};87.44;5;117.8854962;2507;335.4004827;0.45;9;200.6666667;387;131.7307861;30
0;EE;10;J;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I'];{'contamination: 0'};99.73;10;2366.666667;17001;3778.340308;0.23;74;363;861;317.8120514;1
0;EE;10;J;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I'];{'contamination: 0'};96.26;10;499.5808383;16986;1742.020366;0;1783;1783;1783;;3
0;EE;10;J;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I'];{'contamination: 0'};94.39;10;233.3938547;13162;1026.650038;0.17;74;451.75;964;375.1465269;5
0;EE;10;J;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I'];{'contamination: 0'};88.99;10;161.0863454;2505;415.69362;0.39;31;229.875;453;163.6568165;10
0;EE;10;J;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I'];{'contamination: 0'};85.54;10;110.3899721;2505;309.8752275;2.71;11;45.72340426;148;30.70809419;30
0;EE;30;J;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I'];{'contamination: 0'};99.93;31;7688.272727;54604;16685.46563;0.23;280;379.8;612;139.6538578;1
0;EE;30;J;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I'];{'contamination: 0'};97.83;30;547.7484277;17145;2339.971805;0.11;171;614.3333333;993;414.7979428;3
0;EE;30;J;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I'];{'contamination: 0'};90.6;30;412.8291457;4568;766.1856864;1.76;34;84.70967742;228;43.43439002;5
0;EE;30;J;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I'];{'contamination: 0'};89.13;30;322.5351563;3446;658.3361728;1.71;34;84.74193548;228;42.57618093;10
0;EE;30;J;['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I'];{'contamination: 0'};60.69;30;53.07858824;1383;68.5720643;19.62;30;34.10108303;60;4.724730525;30
